"","park","order","labels","metgrp","sign","num_crit","park_reggrp","label_order","park_dm","park_ord"
"135","SAHI",9,"Deer Browse Impacts","Regen. Status","caution",7,"Imminent Failure","Deer Browse Impacts","SAHI","SAHI"
"136","SAHI",10,"Flat Tree Diam. Dist.","Regen. Status","critical",7,"Imminent Failure","Flat Tree Diam. Dist.","SAHI","SAHI"
"137","SAHI",5,"Sapling Composition","Regen. Status","critical",7,"Imminent Failure","Sapling Composition","SAHI","SAHI"
"138","SAHI",6,"Seedling Composition","Regen. Status","critical",7,"Imminent Failure","Seedling Composition","SAHI","SAHI"
"139","SAHI",7,"Sorensen Sapling","Regen. Status","acceptable",7,"Imminent Failure","Sorensen Sapling","SAHI","SAHI"
"140","SAHI",8,"Sorensen Seedling","Regen. Status","critical",7,"Imminent Failure","Sorensen Seedling","SAHI","SAHI"
"141","SAHI",10,"Tree BA","Native Canopy 
 Trends","notmod",7,"Imminent Failure","Tree BA","SAHI","SAHI"
"142","SAHI",11,"Tree Density","Native Canopy 
 Trends","notmod",7,"Imminent Failure","Tree Density","SAHI","SAHI"
"143","SAHI",12,"Sapling BA","Native Canopy 
 Trends","notmod",7,"Imminent Failure","Sapling BA","SAHI","SAHI"
"144","SAHI",13,"Sapling Density","Native Canopy 
 Trends","notmod",7,"Imminent Failure","Sapling Density","SAHI","SAHI"
"145","SAHI",14,"Seedling Density","Native Canopy 
 Trends","notmod",7,"Imminent Failure","Seedling Density","SAHI","SAHI"
"146","SAHI",15,"Stocking Index","Native Canopy 
 Trends","notmod",7,"Imminent Failure","Stocking Index","SAHI","SAHI"
"147","SAHI",16,"Tree BA","Native Subcan. 
 Trends","notmod",7,"Imminent Failure","Tree BA","SAHI","SAHI"
"148","SAHI",17,"Tree Density","Native Subcan. 
 Trends","notmod",7,"Imminent Failure","Tree Density","SAHI","SAHI"
"149","SAHI",18,"Sapling BA","Native Subcan. 
 Trends","notmod",7,"Imminent Failure","Sapling BA","SAHI","SAHI"
"150","SAHI",19,"Sapling Density","Native Subcan. 
 Trends","notmod",7,"Imminent Failure","Sapling Density","SAHI","SAHI"
"151","SAHI",20,"Seedling Density","Native Subcan. 
 Trends","notmod",7,"Imminent Failure","Seedling Density","SAHI","SAHI"
"152","SAHI",21,"Tree BA","Exotic 
 Trends","notmod",7,"Imminent Failure","Tree BA","SAHI","SAHI"
"153","SAHI",22,"Tree Density","Exotic 
 Trends","notmod",7,"Imminent Failure","Tree Density","SAHI","SAHI"
"154","SAHI",23,"Sapling BA","Exotic 
 Trends","notmod",7,"Imminent Failure","Sapling BA","SAHI","SAHI"
"155","SAHI",24,"Sapling Density","Exotic 
 Trends","notmod",7,"Imminent Failure","Sapling Density","SAHI","SAHI"
"156","SAHI",25,"Seedling Density","Exotic 
 Trends","notmod",7,"Imminent Failure","Seedling Density","SAHI","SAHI"
"157","SARA",1,"Sapling Density","Regen. Status","critical",7,"Imminent Failure","Sapling Density","SARA","SARA"
"158","SARA",2,"Seedling Density","Regen. Status","caution",7,"Imminent Failure","Seedling Density","SARA","SARA"
"159","SARA",3,"% Stocked Plots","Regen. Status","critical",7,"Imminent Failure","% Stocked Plots","SARA","SARA"
"160","SARA",4,"Stocking Index","Regen. Status","critical",7,"Imminent Failure","Stocking Index","SARA","SARA"
"161","SARA",9,"Deer Browse Impacts","Regen. Status","critical",7,"Imminent Failure","Deer Browse Impacts","SARA","SARA"
"162","SARA",10,"Flat Tree Diam. Dist.","Regen. Status","acceptable",7,"Imminent Failure","Flat Tree Diam. Dist.","SARA","SARA"
"163","SARA",5,"Sapling Composition","Regen. Status","critical",7,"Imminent Failure","Sapling Composition","SARA","SARA"
"164","SARA",6,"Seedling Composition","Regen. Status","critical",7,"Imminent Failure","Seedling Composition","SARA","SARA"
"165","SARA",7,"Sorensen Sapling","Regen. Status","critical",7,"Imminent Failure","Sorensen Sapling","SARA","SARA"
"166","SARA",8,"Sorensen Seedling","Regen. Status","acceptable",7,"Imminent Failure","Sorensen Seedling","SARA","SARA"
"167","SARA",10,"Tree BA","Native Canopy 
 Trends","signinc_good",7,"Imminent Failure","Tree BA","SARA","SARA"
"168","SARA",11,"Tree Density","Native Canopy 
 Trends","signdec_bad",7,"Imminent Failure","Tree Density","SARA","SARA"
"169","SARA",12,"Sapling BA","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Sapling BA","SARA","SARA"
"170","SARA",13,"Sapling Density","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Sapling Density","SARA","SARA"
"171","SARA",14,"Seedling Density","Native Canopy 
 Trends","signinc_good",7,"Imminent Failure","Seedling Density","SARA","SARA"
"172","SARA",15,"Stocking Index","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Stocking Index","SARA","SARA"
"173","SARA",16,"Tree BA","Native Subcan. 
 Trends","signinc_good",7,"Imminent Failure","Tree BA","SARA","SARA"
"174","SARA",17,"Tree Density","Native Subcan. 
 Trends","nonsign",7,"Imminent Failure","Tree Density","SARA","SARA"
"175","SARA",18,"Sapling BA","Native Subcan. 
 Trends","nonsign",7,"Imminent Failure","Sapling BA","SARA","SARA"
"176","SARA",19,"Sapling Density","Native Subcan. 
 Trends","nonsign",7,"Imminent Failure","Sapling Density","SARA","SARA"
"177","SARA",20,"Seedling Density","Native Subcan. 
 Trends","nonsign",7,"Imminent Failure","Seedling Density","SARA","SARA"
"178","SARA",21,"Tree BA","Exotic 
 Trends","signinc_bad",7,"Imminent Failure","Tree BA","SARA","SARA"
"179","SARA",22,"Tree Density","Exotic 
 Trends","signinc_bad",7,"Imminent Failure","Tree Density","SARA","SARA"
"180","SARA",23,"Sapling BA","Exotic 
 Trends","signinc_bad",7,"Imminent Failure","Sapling BA","SARA","SARA"
"181","SARA",24,"Sapling Density","Exotic 
 Trends","nonsign",7,"Imminent Failure","Sapling Density","SARA","SARA"
"182","SARA",25,"Seedling Density","Exotic 
 Trends","signinc_bad",7,"Imminent Failure","Seedling Density","SARA","SARA"
"183","THST",1,"Sapling Density","Regen. Status","critical",7,"Imminent Failure","Sapling Density","THST","THST"
"184","THST",2,"Seedling Density","Regen. Status","critical",7,"Imminent Failure","Seedling Density","THST","THST"
"185","THST",3,"% Stocked Plots","Regen. Status","critical",7,"Imminent Failure","% Stocked Plots","THST","THST"
"186","THST",4,"Stocking Index","Regen. Status","critical",7,"Imminent Failure","Stocking Index","THST","THST"
"187","THST",9,"Deer Browse Impacts","Regen. Status","critical",7,"Imminent Failure","Deer Browse Impacts","THST","THST"
"188","THST",10,"Flat Tree Diam. Dist.","Regen. Status","acceptable",7,"Imminent Failure","Flat Tree Diam. Dist.","THST","THST"
"189","THST",5,"Sapling Composition","Regen. Status","caution",7,"Imminent Failure","Sapling Composition","THST","THST"
"190","THST",6,"Seedling Composition","Regen. Status","critical",7,"Imminent Failure","Seedling Composition","THST","THST"
"191","THST",7,"Sorensen Sapling","Regen. Status","acceptable",7,"Imminent Failure","Sorensen Sapling","THST","THST"
